item_name,state,latest_price,price_change,highest_price,lowest_price,item_group
AYAM BERSIH - STANDARD,Johor,8.06146266621207,0.14455687961267838,9.327719738824712,7.772348906986712,1
AYAM BERSIH - STANDARD,Kedah,8.71022950819672,0.08167294705394923,9.579889624724062,8.326370794559772,1
AYAM BERSIH - STANDARD,Kelantan,8.248343558282208,0.11271867478179054,9.35710164835165,7.766376651982378,1
AYAM BERSIH - STANDARD,Melaka,8.430984251968505,0.10294933869818834,9.412153846153847,8.225085574572129,1
AYAM BERSIH - STANDARD,Negeri Sembilan,8.328170731707317,0.0953158068209401,9.304479166666669,8.137539118065435,1
AYAM BERSIH - STANDARD,Pahang,8.261605308219178,0.1603109748357614,9.386674220963174,7.940983358547655,1
AYAM BERSIH - STANDARD,Perak,8.465505376344087,0.06840732734730004,9.47867674858223,8.328690721649485,1
AYAM BERSIH - STANDARD,Perlis,8.785697399527187,0.14539744628170048,9.757441860465116,7.949933184855233,1
AYAM BERSIH - STANDARD,Pulau Pinang,8.959441087613294,0.05056233485142414,9.75730964467005,8.602292787944027,1
AYAM BERSIH - STANDARD,Sabah,12.213779069767442,-0.11902649565062973,12.685169082125606,10.71015873015873,1
AYAM BERSIH - STANDARD,Sarawak,11.006060606060606,0.049314349722909157,11.309205776173284,9.231984924623116,1
AYAM BERSIH - STANDARD,Selangor,8.4505938697318,0.10777990875920374,9.499605532786886,8.235034052213395,1
AYAM BERSIH - STANDARD,Terengganu,8.630928829915561,0.14715877911963027,9.63774125874126,8.16860252004582,1
AYAM BERSIH - STANDARD,W.P. Kuala Lumpur,8.431704596162428,0.11875287978401694,9.384869158878503,8.194198836594394,1
AYAM BERSIH - STANDARD,W.P. Labuan,12.526190476190475,-0.004010025062656908,12.53421052631579,10.678125,1
AYAM BERSIH - STANDARD,W.P. Putrajaya,8.263694915254238,0.13005706461401978,9.365755102040817,8.0035807860262,1
BAWANG BESAR IMPORT (INDIA),Johor,5.390573248407644,0.027480150374620038,8.234256505576207,2.79,1
BAWANG BESAR IMPORT (INDIA),Kedah,5.529522012578616,0.00829459802057464,9.58201550387597,3.03661149825784,1
BAWANG BESAR IMPORT (INDIA),Kelantan,4.956781065088757,-0.05031382552393726,8.49888,3.0087685290763964,1
BAWANG BESAR IMPORT (INDIA),Melaka,5.7627859237536665,0.02146500798634321,7.84046511627907,2.9980961923847693,1
BAWANG BESAR IMPORT (INDIA),Negeri Sembilan,5.891534195933457,0.19439917343842694,8.77704081632653,2.6776973684210525,1
BAWANG BESAR IMPORT (INDIA),Pahang,5.557085668534829,-0.0911473883850542,8.682930648769574,3.215539135194308,1
BAWANG BESAR IMPORT (INDIA),Perak,5.343169213355971,0.011594462131335526,8.138510638297872,2.9098321995464853,1
BAWANG BESAR IMPORT (INDIA),Perlis,5.972,-0.11577083333333249,9.552459016393444,3.5046924829157176,1
BAWANG BESAR IMPORT (INDIA),Pulau Pinang,5.676449175824176,0.06028873885548425,8.43660516605166,3.1106377708978328,1
BAWANG BESAR IMPORT (INDIA),Sabah,6.053831168831168,-0.19455284436561993,6.714911333847342,5.078912337662337,1
BAWANG BESAR IMPORT (INDIA),Sarawak,5.215199714693295,-0.13882634497507773,6.904915824915825,4.392153038259565,1
BAWANG BESAR IMPORT (INDIA),Selangor,5.3446826625387,0.0667917334141217,7.9242654028436,2.678595213319459,1
BAWANG BESAR IMPORT (INDIA),Terengganu,5.804556701030928,0.09718959311901365,8.52291338582677,3.0491135972461274,1
BAWANG BESAR IMPORT (INDIA),W.P. Kuala Lumpur,5.408821548821549,-0.05534052477259621,8.688287292817678,2.7891319246145057,1
BAWANG BESAR IMPORT (INDIA),W.P. Labuan,5.65011320754717,-0.22014339622641543,6.927088122605364,4.551207729468598,1
BAWANG BESAR IMPORT (INDIA),W.P. Putrajaya,6.216666666666667,0.02822649572649638,9.16641975308642,2.9019724770642203,1
BAWANG BESAR KUNING OR HOLLAND,Johor,4.029209302325582,-0.12937975589506756,5.171134020618557,3.8129532497149374,1
BAWANG BESAR KUNING OR HOLLAND,Kedah,4.823134068485201,-0.12503535004912525,5.6257,4.005119617224881,1
BAWANG BESAR KUNING OR HOLLAND,Kelantan,4.709484210526316,-0.07143419362767656,5.793345454545454,3.674606516290727,1
BAWANG BESAR KUNING OR HOLLAND,Melaka,4.735456238361267,-0.05820535721421649,5.501353965183752,3.997194029850746,1
BAWANG BESAR KUNING OR HOLLAND,Negeri Sembilan,4.450771929824561,-0.10363189223057745,5.689658659924147,3.671698973774231,1
BAWANG BESAR KUNING OR HOLLAND,Pahang,4.463314260563381,-0.16664345389250013,5.539786301369863,3.885648414985592,1
BAWANG BESAR KUNING OR HOLLAND,Perak,4.3784618644067805,-0.202732806305292,5.809626213592233,3.703480074142725,1
BAWANG BESAR KUNING OR HOLLAND,Perlis,4.848156862745099,0.0037609710550885467,5.377484536082474,4.216505263157894,1
BAWANG BESAR KUNING OR HOLLAND,Pulau Pinang,5.057088974854933,-0.07648395398322716,5.767982969664716,4.07812467800103,1
BAWANG BESAR KUNING OR HOLLAND,Sabah,5.949065693430657,-0.036451160392623194,7.083916990920882,4.744293451501723,1
BAWANG BESAR KUNING OR HOLLAND,Sarawak,4.980285714285714,-0.08170206264323898,6.484530818767249,4.021337262012692,1
BAWANG BESAR KUNING OR HOLLAND,Selangor,4.365297054418373,-0.1078304447534304,5.684575342465754,3.711860060843112,1
BAWANG BESAR KUNING OR HOLLAND,Terengganu,4.8122818026240735,-0.14026806789813762,5.467277777777777,3.846370629370629,1
